PING 100.100.100.10 (100.100.100.10) 56(84) bytes of data.
64 bytes from 100.100.100.10: icmp_seq=1 ttl=61 time=27.5 ms
64 bytes from 100.100.100.10: icmp_seq=2 ttl=61 time=20.5 ms
64 bytes from 100.100.100.10: icmp_seq=3 ttl=61 time=18.8 ms
64 bytes from 100.100.100.10: icmp_seq=4 ttl=61 time=11.8 ms
64 bytes from 100.100.100.10: icmp_seq=5 ttl=61 time=24.9 ms
64 bytes from 100.100.100.10: icmp_seq=6 ttl=61 time=18.8 ms
64 bytes from 100.100.100.10: icmp_seq=7 ttl=61 time=16.9 ms
64 bytes from 100.100.100.10: icmp_seq=8 ttl=61 time=15.8 ms
64 bytes from 100.100.100.10: icmp_seq=9 ttl=61 time=13.8 ms
64 bytes from 100.100.100.10: icmp_seq=10 ttl=61 time=11.9 ms
64 bytes from 100.100.100.10: icmp_seq=11 ttl=61 time=15.9 ms
64 bytes from 100.100.100.10: icmp_seq=12 ttl=61 time=18.9 ms
64 bytes from 100.100.100.10: icmp_seq=13 ttl=61 time=16.8 ms
64 bytes from 100.100.100.10: icmp_seq=14 ttl=61 time=20.3 ms
64 bytes from 100.100.100.10: icmp_seq=15 ttl=61 time=18.5 ms
64 bytes from 100.100.100.10: icmp_seq=16 ttl=61 time=27.0 ms
64 bytes from 100.100.100.10: icmp_seq=17 ttl=61 time=25.9 ms
64 bytes from 100.100.100.10: icmp_seq=18 ttl=61 time=24.8 ms
64 bytes from 100.100.100.10: icmp_seq=19 ttl=61 time=17.8 ms
64 bytes from 100.100.100.10: icmp_seq=20 ttl=61 time=15.9 ms
64 bytes from 100.100.100.10: icmp_seq=21 ttl=61 time=20.3 ms
64 bytes from 100.100.100.10: icmp_seq=22 ttl=61 time=18.5 ms
64 bytes from 100.100.100.10: icmp_seq=23 ttl=61 time=16.9 ms
64 bytes from 100.100.100.10: icmp_seq=24 ttl=61 time=15.9 ms
64 bytes from 100.100.100.10: icmp_seq=25 ttl=61 time=18.8 ms
64 bytes from 100.100.100.10: icmp_seq=26 ttl=61 time=22.0 ms
64 bytes from 100.100.100.10: icmp_seq=27 ttl=61 time=15.8 ms
64 bytes from 100.100.100.10: icmp_seq=28 ttl=61 time=18.8 ms
64 bytes from 100.100.100.10: icmp_seq=29 ttl=61 time=16.9 ms
64 bytes from 100.100.100.10: icmp_seq=30 ttl=61 time=20.8 ms
64 bytes from 100.100.100.10: icmp_seq=31 ttl=61 time=24.0 ms
64 bytes from 100.100.100.10: icmp_seq=32 ttl=61 time=12.7 ms
64 bytes from 100.100.100.10: icmp_seq=33 ttl=61 time=15.9 ms
64 bytes from 100.100.100.10: icmp_seq=34 ttl=61 time=13.8 ms
64 bytes from 100.100.100.10: icmp_seq=35 ttl=61 time=16.9 ms
64 bytes from 100.100.100.10: icmp_seq=36 ttl=61 time=20.9 ms
64 bytes from 100.100.100.10: icmp_seq=37 ttl=61 time=19.8 ms
64 bytes from 100.100.100.10: icmp_seq=38 ttl=61 time=12.9 ms
64 bytes from 100.100.100.10: icmp_seq=39 ttl=61 time=15.9 ms
64 bytes from 100.100.100.10: icmp_seq=40 ttl=61 time=18.8 ms
64 bytes from 100.100.100.10: icmp_seq=41 ttl=61 time=17.0 ms
64 bytes from 100.100.100.10: icmp_seq=42 ttl=61 time=15.8 ms
64 bytes from 100.100.100.10: icmp_seq=43 ttl=61 time=18.8 ms
64 bytes from 100.100.100.10: icmp_seq=44 ttl=61 time=16.9 ms
64 bytes from 100.100.100.10: icmp_seq=45 ttl=61 time=25.1 ms
64 bytes from 100.100.100.10: icmp_seq=46 ttl=61 time=19.3 ms
64 bytes from 100.100.100.10: icmp_seq=47 ttl=61 time=12.6 ms
64 bytes from 100.100.100.10: icmp_seq=48 ttl=61 time=26.0 ms
64 bytes from 100.100.100.10: icmp_seq=49 ttl=61 time=19.9 ms
64 bytes from 100.100.100.10: icmp_seq=50 ttl=61 time=17.9 ms
64 bytes from 100.100.100.10: icmp_seq=51 ttl=61 time=15.9 ms
64 bytes from 100.100.100.10: icmp_seq=52 ttl=61 time=19.9 ms
64 bytes from 100.100.100.10: icmp_seq=53 ttl=61 time=22.8 ms
64 bytes from 100.100.100.10: icmp_seq=54 ttl=61 time=15.9 ms
64 bytes from 100.100.100.10: icmp_seq=55 ttl=61 time=18.8 ms
64 bytes from 100.100.100.10: icmp_seq=56 ttl=61 time=16.9 ms
64 bytes from 100.100.100.10: icmp_seq=57 ttl=61 time=15.8 ms
64 bytes from 100.100.100.10: icmp_seq=58 ttl=61 time=18.9 ms
64 bytes from 100.100.100.10: icmp_seq=59 ttl=61 time=26.8 ms
64 bytes from 100.100.100.10: icmp_seq=60 ttl=61 time=19.9 ms
64 bytes from 100.100.100.10: icmp_seq=61 ttl=61 time=12.9 ms
64 bytes from 100.100.100.10: icmp_seq=62 ttl=61 time=15.9 ms
