PING 192.168.67.2 (192.168.67.2) 56(84) bytes of data.
64 bytes from 192.168.67.2: icmp_seq=1 ttl=60 time=16.8 ms
64 bytes from 192.168.67.2: icmp_seq=2 ttl=60 time=19.7 ms
64 bytes from 192.168.67.2: icmp_seq=3 ttl=60 time=17.5 ms
64 bytes from 192.168.67.2: icmp_seq=4 ttl=60 time=20.5 ms
64 bytes from 192.168.67.2: icmp_seq=5 ttl=60 time=18.8 ms
64 bytes from 192.168.67.2: icmp_seq=6 ttl=60 time=17.7 ms
64 bytes from 192.168.67.2: icmp_seq=7 ttl=60 time=20.4 ms
64 bytes from 192.168.67.2: icmp_seq=8 ttl=60 time=18.8 ms
64 bytes from 192.168.67.2: icmp_seq=9 ttl=60 time=32.3 ms
64 bytes from 192.168.67.2: icmp_seq=10 ttl=60 time=30.7 ms
64 bytes from 192.168.67.2: icmp_seq=11 ttl=60 time=14.6 ms
64 bytes from 192.168.67.2: icmp_seq=12 ttl=60 time=16.9 ms
64 bytes from 192.168.67.2: icmp_seq=13 ttl=60 time=20.4 ms
64 bytes from 192.168.67.2: icmp_seq=14 ttl=60 time=18.6 ms
64 bytes from 192.168.67.2: icmp_seq=15 ttl=60 time=16.6 ms
64 bytes from 192.168.67.2: icmp_seq=16 ttl=60 time=19.5 ms
64 bytes from 192.168.67.2: icmp_seq=17 ttl=60 time=13.6 ms
64 bytes from 192.168.67.2: icmp_seq=18 ttl=60 time=16.8 ms
64 bytes from 192.168.67.2: icmp_seq=19 ttl=60 time=15.7 ms
64 bytes from 192.168.67.2: icmp_seq=20 ttl=60 time=13.6 ms
64 bytes from 192.168.67.2: icmp_seq=21 ttl=60 time=21.6 ms
64 bytes from 192.168.67.2: icmp_seq=22 ttl=60 time=19.6 ms
64 bytes from 192.168.67.2: icmp_seq=23 ttl=60 time=17.7 ms
64 bytes from 192.168.67.2: icmp_seq=24 ttl=60 time=19.6 ms
64 bytes from 192.168.67.2: icmp_seq=25 ttl=60 time=17.5 ms
64 bytes from 192.168.67.2: icmp_seq=26 ttl=60 time=26.6 ms
64 bytes from 192.168.67.2: icmp_seq=27 ttl=60 time=24.5 ms
64 bytes from 192.168.67.2: icmp_seq=28 ttl=60 time=22.7 ms
64 bytes from 192.168.67.2: icmp_seq=29 ttl=60 time=20.8 ms
64 bytes from 192.168.67.2: icmp_seq=30 ttl=60 time=19.6 ms
64 bytes from 192.168.67.2: icmp_seq=31 ttl=60 time=13.3 ms
64 bytes from 192.168.67.2: icmp_seq=32 ttl=60 time=26.8 ms
64 bytes from 192.168.67.2: icmp_seq=33 ttl=60 time=19.7 ms
64 bytes from 192.168.67.2: icmp_seq=34 ttl=60 time=17.4 ms
64 bytes from 192.168.67.2: icmp_seq=35 ttl=60 time=16.8 ms
64 bytes from 192.168.67.2: icmp_seq=36 ttl=60 time=19.7 ms
64 bytes from 192.168.67.2: icmp_seq=37 ttl=60 time=17.7 ms
64 bytes from 192.168.67.2: icmp_seq=38 ttl=60 time=20.5 ms
64 bytes from 192.168.67.2: icmp_seq=39 ttl=60 time=25.4 ms
64 bytes from 192.168.67.2: icmp_seq=40 ttl=60 time=17.4 ms
64 bytes from 192.168.67.2: icmp_seq=41 ttl=60 time=30.9 ms
64 bytes from 192.168.67.2: icmp_seq=42 ttl=60 time=19.4 ms
64 bytes from 192.168.67.2: icmp_seq=43 ttl=60 time=17.6 ms
64 bytes from 192.168.67.2: icmp_seq=44 ttl=60 time=20.7 ms
64 bytes from 192.168.67.2: icmp_seq=45 ttl=60 time=18.5 ms
64 bytes from 192.168.67.2: icmp_seq=46 ttl=60 time=26.7 ms
64 bytes from 192.168.67.2: icmp_seq=47 ttl=60 time=19.6 ms
64 bytes from 192.168.67.2: icmp_seq=48 ttl=60 time=13.6 ms
64 bytes from 192.168.67.2: icmp_seq=49 ttl=60 time=16.6 ms
64 bytes from 192.168.67.2: icmp_seq=50 ttl=60 time=18.8 ms
64 bytes from 192.168.67.2: icmp_seq=51 ttl=60 time=17.7 ms
64 bytes from 192.168.67.2: icmp_seq=52 ttl=60 time=17.6 ms
64 bytes from 192.168.67.2: icmp_seq=53 ttl=60 time=19.4 ms
64 bytes from 192.168.67.2: icmp_seq=54 ttl=60 time=13.6 ms
64 bytes from 192.168.67.2: icmp_seq=55 ttl=60 time=20.7 ms
64 bytes from 192.168.67.2: icmp_seq=56 ttl=60 time=19.7 ms
64 bytes from 192.168.67.2: icmp_seq=57 ttl=60 time=23.4 ms
64 bytes from 192.168.67.2: icmp_seq=58 ttl=60 time=20.6 ms
64 bytes from 192.168.67.2: icmp_seq=59 ttl=60 time=18.7 ms
64 bytes from 192.168.67.2: icmp_seq=60 ttl=60 time=23.7 ms
64 bytes from 192.168.67.2: icmp_seq=61 ttl=60 time=16.4 ms
64 bytes from 192.168.67.2: icmp_seq=62 ttl=60 time=19.8 ms
64 bytes from 192.168.67.2: icmp_seq=63 ttl=60 time=14.4 ms
64 bytes from 192.168.67.2: icmp_seq=64 ttl=60 time=17.8 ms
64 bytes from 192.168.67.2: icmp_seq=65 ttl=60 time=16.7 ms
64 bytes from 192.168.67.2: icmp_seq=66 ttl=60 time=18.6 ms
64 bytes from 192.168.67.2: icmp_seq=67 ttl=60 time=16.4 ms
